#           BLOCK       VELOCITY:       AVE_POFV:          ERROR:
              17         2.12289        0.394952        0.013418
              17         2.44949        0.291049       0.0191093
              17         2.77609        0.237173        0.015445
              17         3.10269        0.161789       0.0125024
              17         3.42929       0.0922603      0.00750904
              17         3.75588       0.0521334       0.0053206
              17         4.08248        0.018914      0.00362397
              17         4.40908      0.00535993      0.00212797
              17         4.73568      0.00447689       0.0017737
              17         5.06228      0.00281088      0.00129234
              17         5.38888     0.000282672     0.000197697
              17         5.71548               0               0
              17         6.04207               0               0
              17         6.36867               0               0
              17         6.69527               0               0
              17         7.02187               0               0
              17         7.34847               0               0
              17         7.67507               0               0
              17         8.00167               0               0
              17         8.32827               0               0
              17         8.65486               0               0
              17         8.98146               0               0
              17         9.30806               0               0
              17         9.63466               0               0
              18        0.163299               0               0
              18        0.489898       0.0999405      0.00814795
              18        0.816497        0.267018       0.0145112
              18          1.1431        0.411053       0.0165795
              18         1.46969        0.514664       0.0172616
              18         1.79629        0.499558       0.0133542
              18         2.12289        0.394512       0.0126798
              18         2.44949        0.292103       0.0180767
              18         2.77609        0.234421       0.0148301
              18         3.10269        0.159416        0.012031
              18         3.42929       0.0921441      0.00709277
              18         3.75588       0.0525864      0.00504426
              18         4.08248       0.0191642      0.00343126
              18         4.40908      0.00506215      0.00203047
              18         4.73568      0.00422817       0.0016925
              18         5.06228      0.00265472      0.00122994
              18         5.38888     0.000266968     0.000187337
              18         5.71548               0               0
              18         6.04207               0               0
              18         6.36867               0               0
              18         6.69527               0               0
              18         7.02187               0               0
              18         7.34847               0               0
              18         7.67507               0               0
              18         8.00167               0               0
              18         8.32827               0               0
              18         8.65486               0               0
              18         8.98146               0               0
              18         9.30806               0               0
              18         9.63466               0               0
              19        0.163299               0               0
              19        0.489898        0.100698       0.0077542
              19        0.816497        0.265863       0.0137933
              19          1.1431        0.411838       0.0157255
              19         1.46969        0.514917       0.0163549
              19         1.79629        0.500628       0.0126942
              19         2.12289        0.397651        0.012395
              19         2.44949        0.296521       0.0176569
              19         2.77609        0.231006       0.0144374
              19         3.10269        0.156224       0.0118137
              19         3.42929       0.0916693      0.00673533
              19         3.75588       0.0521181      0.00480047
              19         4.08248       0.0184749      0.00331919
              19         4.40908      0.00479572      0.00194101
              19         4.73568      0.00400564      0.00161799
              19         5.06228      0.00251499      0.00117311
              19         5.38888     0.000252917     0.000178003
              19         5.71548               0               0
              19         6.04207               0               0
              19         6.36867               0               0
              19         6.69527               0               0
              19         7.02187               0               0
              19         7.34847               0               0
              19         7.67507               0               0
              19         8.00167               0               0
              19         8.32827               0               0
              19         8.65486               0               0
              19         8.98146               0               0
              19         9.30806               0               0
              19         9.63466               0               0
              20        0.163299               0               0
              20        0.489898        0.101601      0.00741898
              20        0.816497        0.263568       0.0132934
              20          1.1431        0.413503       0.0150271
              20         1.46969        0.515245       0.0155405
              20         1.79629        0.503116       0.0123009
              20         2.12289        0.398835       0.0118317
              20         2.44949        0.296734       0.0167754
              20         2.77609        0.230611       0.0137209
              20         3.10269        0.152696       0.0117379
              20         3.42929       0.0922974      0.00642778
              20         3.75588       0.0506348       0.0047841
              20         4.08248       0.0186625      0.00315853
              20         4.40908      0.00457791      0.00185614
              20         4.73568      0.00380536      0.00154944
              20         5.06228      0.00238924      0.00112118
              20         5.38888     0.000240271     0.000169552
              20         5.71548               0               0
              20         6.04207               0               0
              20         6.36867               0               0
              20         6.69527               0               0
              20         7.02187               0               0
              20         7.34847               0               0
              20         7.67507               0               0
              20         8.00167               0               0
              20         8.32827               0               0
              20         8.65486               0               0
              20         8.98146               0               0
              20         9.30806               0               0
              20         9.63466               0               0
