#          BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
             453       -0.562991       -0.578425      0.00164261
             454       -0.562328       -0.578389      0.00163937
             455       -0.561727       -0.578353      0.00163618
             456       -0.561194       -0.578315      0.00163302
             457       -0.560728       -0.578277       0.0016299
             458       -0.560329       -0.578237      0.00162681
             459       -0.560007       -0.578198      0.00162376
             460       -0.559758       -0.578158      0.00162072
             461       -0.559584       -0.578117      0.00161771
             462       -0.559479       -0.578077      0.00161471
             463       -0.559445       -0.578037      0.00161172
             464       -0.559485       -0.577997      0.00160874
             465       -0.559591       -0.577957      0.00160577
             466       -0.559764       -0.577918       0.0016028
             467           -0.56        -0.57788      0.00159983
             468       -0.560292       -0.577842      0.00159685
             469       -0.560638       -0.577805      0.00159387
             470       -0.561034        -0.57777      0.00159087
             471       -0.561479       -0.577735      0.00158787
             472       -0.561969       -0.577702      0.00158486
             473       -0.562501        -0.57767      0.00158183
             474       -0.563073       -0.577639       0.0015788
             475       -0.563672       -0.577609      0.00157575
             476       -0.564299       -0.577581      0.00157268
             477        -0.56495       -0.577555      0.00156961
             478       -0.565621        -0.57753      0.00156653
             479       -0.566308       -0.577507      0.00156343
             480       -0.567009       -0.577485      0.00156033
             481       -0.567719       -0.577464      0.00155721
             482       -0.568439       -0.577446       0.0015541
             483       -0.569162       -0.577429      0.00155097
             484       -0.569887       -0.577413      0.00154785
             485       -0.570609       -0.577399      0.00154472
             486       -0.571323       -0.577386      0.00154159
             487       -0.572031       -0.577375      0.00153846
             488       -0.572732       -0.577366      0.00153534
             489       -0.573423       -0.577358      0.00153222
             490       -0.574093       -0.577351      0.00152911
             491       -0.574751       -0.577346      0.00152601
             492       -0.575398       -0.577342      0.00152291
             493        -0.57602       -0.577339      0.00151982
             494       -0.576632       -0.577338      0.00151675
             495       -0.577216       -0.577338      0.00151368
             496       -0.577781       -0.577338      0.00151063
             497       -0.578327        -0.57734      0.00150759
             498        -0.57885       -0.577344      0.00150457
             499       -0.579346       -0.577348      0.00150156
             500       -0.579819       -0.577352      0.00149856
             501        -0.58026       -0.577358      0.00149558
             502       -0.580678       -0.577365      0.00149262
             503       -0.581074       -0.577372      0.00148967
             504       -0.581438        -0.57738      0.00148674
             505       -0.581775       -0.577389      0.00148382
             506       -0.582087       -0.577398      0.00148091
             507       -0.582372       -0.577408      0.00147803
             508       -0.582626       -0.577418      0.00147515
             509       -0.582857       -0.577429      0.00147229
             510       -0.583071        -0.57744      0.00146945
             511       -0.583254       -0.577452      0.00146662
             512       -0.583408       -0.577463       0.0014638
             513       -0.583539       -0.577475      0.00146099
             514       -0.583651       -0.577487       0.0014582
             515        -0.58374       -0.577499      0.00145542
             516       -0.583813       -0.577511      0.00145265
             517       -0.583869       -0.577524      0.00144989
             518       -0.583911       -0.577536      0.00144714
             519       -0.583942       -0.577548      0.00144441
             520       -0.583959       -0.577561      0.00144168
             521       -0.583963       -0.577573      0.00143897
             522       -0.583955       -0.577585      0.00143626
             523       -0.583945       -0.577597      0.00143357
             524       -0.583928       -0.577609      0.00143088
             525       -0.583916       -0.577621      0.00142821
             526       -0.583901       -0.577633      0.00142554
             527        -0.58389       -0.577645      0.00142289
             528       -0.583888       -0.577657      0.00142024
             529       -0.583891       -0.577669      0.00141761
             530       -0.583903       -0.577681      0.00141498
             531       -0.583932       -0.577692      0.00141236
             532       -0.583971       -0.577704      0.00140976
             533       -0.584019       -0.577716      0.00140716
             534       -0.584093       -0.577728      0.00140458
             535       -0.584178        -0.57774      0.00140201
             536       -0.584289       -0.577752      0.00139944
             537       -0.584421       -0.577765      0.00139689
             538       -0.584579       -0.577777      0.00139435
             539        -0.58476        -0.57779      0.00139183
             540       -0.584963       -0.577804      0.00138931
             541       -0.585187       -0.577817      0.00138681
             542       -0.585443       -0.577831      0.00138432
             543       -0.585723       -0.577846      0.00138185
             544        -0.58603       -0.577861      0.00137939
             545       -0.586357       -0.577876      0.00137695
             546       -0.586717       -0.577893      0.00137452
             547       -0.587095       -0.577909      0.00137211
             548       -0.587497       -0.577927      0.00136972
             549       -0.587921       -0.577945      0.00136735
             550       -0.588361       -0.577964      0.00136499
             551       -0.588826       -0.577984      0.00136266
             552       -0.589306       -0.578004      0.00136034
             553       -0.589806       -0.578026      0.00135805
             554        -0.59032       -0.578048      0.00135578
             555       -0.590853       -0.578071      0.00135353
             556       -0.591395       -0.578095      0.00135131
             557       -0.591947        -0.57812      0.00134911
             558       -0.592505       -0.578146      0.00134694
             559       -0.593068       -0.578172       0.0013448
             560       -0.593636         -0.5782      0.00134268
             561       -0.594211       -0.578228      0.00134059
             562       -0.594782       -0.578258      0.00133853
             563       -0.595349       -0.578288      0.00133649
             564       -0.595915       -0.578319      0.00133449
             565       -0.596477       -0.578352      0.00133252
             566       -0.597032       -0.578385      0.00133057
             567        -0.59758       -0.578418      0.00132865
             568       -0.598118       -0.578453      0.00132677
             569       -0.598645       -0.578489      0.00132491
             570        -0.59916       -0.578525      0.00132308
             571       -0.599659       -0.578562      0.00132128
             572       -0.600143         -0.5786      0.00131951
             573       -0.600612       -0.578638      0.00131777
             574       -0.601069       -0.578677      0.00131605
             575       -0.601511       -0.578717      0.00131436
             576       -0.601932       -0.578757       0.0013127
             577       -0.602332       -0.578798      0.00131106
             578       -0.602714       -0.578839      0.00130944
             579       -0.603071       -0.578881      0.00130785
             580        -0.60341       -0.578924      0.00130628
             581       -0.603728       -0.578966      0.00130473
             582       -0.604026       -0.579009       0.0013032
             583       -0.604301       -0.579053      0.00130168
             584       -0.604553       -0.579096      0.00130019
             585       -0.604783        -0.57914       0.0012987
             586       -0.604989       -0.579184      0.00129724
             587        -0.60517       -0.579229      0.00129578
             588       -0.605334       -0.579273      0.00129434
             589       -0.605476       -0.579318      0.00129291
             590       -0.605594       -0.579362      0.00129148
             591       -0.605692       -0.579407      0.00129006
             592       -0.605769       -0.579451      0.00128865
             593       -0.605821       -0.579496      0.00128725
             594       -0.605856        -0.57954      0.00128584
             595       -0.605871       -0.579584      0.00128444
             596       -0.605863       -0.579628      0.00128305
             597       -0.605838       -0.579672      0.00128165
             598       -0.605799       -0.579716      0.00128025
             599       -0.605731       -0.579759      0.00127885
             600       -0.605651       -0.579803      0.00127744
             601       -0.605552       -0.579845      0.00127604
             602       -0.605437       -0.579888      0.00127463
             603       -0.605302        -0.57993      0.00127321
             604       -0.605154       -0.579972      0.00127178
             605       -0.604991       -0.580013      0.00127035
             606       -0.604812       -0.580054      0.00126892
             607        -0.60462       -0.580095      0.00126747
             608       -0.604414       -0.580135      0.00126602
             609       -0.604195       -0.580174      0.00126456
             610       -0.603964       -0.580213      0.00126308
             611       -0.603721       -0.580251       0.0012616
             612       -0.603467       -0.580289      0.00126011
             613       -0.603207       -0.580327      0.00125861
             614        -0.60294       -0.580364       0.0012571
             615       -0.602658         -0.5804      0.00125558
             616       -0.602366       -0.580436      0.00125405
             617       -0.602068       -0.580471       0.0012525
             618        -0.60176       -0.580505      0.00125095
             619       -0.601445       -0.580539      0.00124939
             620       -0.601118       -0.580572      0.00124781
             621       -0.600791       -0.580605      0.00124623
             622       -0.600458       -0.580637      0.00124463
             623        -0.60012       -0.580668      0.00124303
             624       -0.599777       -0.580698      0.00124141
             625       -0.599435       -0.580728      0.00123979
             626       -0.599084       -0.580758      0.00123815
             627       -0.598727       -0.580786      0.00123651
             628       -0.598368       -0.580814      0.00123486
             629       -0.598012       -0.580842       0.0012332
             630       -0.597649       -0.580868      0.00123153
             631       -0.597282       -0.580894      0.00122985
             632       -0.596914        -0.58092      0.00122817
             633       -0.596538       -0.580944      0.00122648
             634       -0.596164       -0.580968      0.00122478
             635       -0.595788       -0.580992      0.00122307
             636       -0.595413       -0.581014      0.00122136
             637       -0.595042       -0.581037      0.00121964
             638       -0.594661       -0.581058      0.00121791
             639        -0.59428       -0.581079      0.00121618
             640       -0.593896       -0.581099      0.00121445
             641        -0.59351       -0.581118      0.00121271
             642        -0.59312       -0.581137      0.00121096
             643       -0.592726       -0.581155      0.00120921
             644       -0.592332       -0.581172      0.00120746
             645        -0.59193       -0.581189       0.0012057
             646       -0.591533       -0.581205      0.00120394
             647        -0.59113        -0.58122      0.00120218
             648       -0.590723       -0.581235      0.00120041
             649       -0.590308       -0.581249      0.00119865
             650       -0.589889       -0.581262      0.00119688
             651       -0.589465       -0.581275       0.0011951
             652       -0.589031       -0.581286      0.00119333
             653       -0.588591       -0.581298      0.00119156
             654       -0.588147       -0.581308      0.00118978
             655       -0.587696       -0.581318        0.001188
             656        -0.58723       -0.581327      0.00118623
             657        -0.58676       -0.581335      0.00118445
             658       -0.586283       -0.581343      0.00118267
