#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             435         1.59755         1.59681     5.14697e-05
             436          1.5976         1.59681     5.13836e-05
             437         1.59765         1.59681      5.1302e-05
             438          1.5977         1.59682     5.12247e-05
             439         1.59773         1.59682     5.11507e-05
             440         1.59777         1.59682     5.10802e-05
             441          1.5978         1.59682     5.10125e-05
             442         1.59782         1.59682     5.09472e-05
             443         1.59784         1.59683     5.08837e-05
             444         1.59785         1.59683     5.08212e-05
             445         1.59785         1.59683      5.0759e-05
             446         1.59785         1.59683     5.06964e-05
             447         1.59784         1.59684     5.06325e-05
             448         1.59782         1.59684     5.05673e-05
             449          1.5978         1.59684     5.04997e-05
             450         1.59776         1.59684     5.04292e-05
             451         1.59773         1.59684     5.03554e-05
             452         1.59768         1.59685      5.0278e-05
             453         1.59763         1.59685     5.01969e-05
             454         1.59757         1.59685     5.01118e-05
             455         1.59751         1.59685     5.00228e-05
             456         1.59744         1.59685       4.993e-05
             457         1.59738         1.59685     4.98339e-05
             458         1.59731         1.59685      4.9735e-05
             459         1.59724         1.59686     4.96336e-05
             460         1.59716         1.59686     4.95302e-05
             461         1.59709         1.59686     4.94254e-05
             462         1.59702         1.59686     4.93196e-05
             463         1.59695         1.59686     4.92136e-05
             464         1.59688         1.59686     4.91075e-05
             465         1.59682         1.59686      4.9002e-05
             466         1.59675         1.59686     4.88974e-05
             467         1.59669         1.59686      4.8794e-05
             468         1.59663         1.59686     4.86921e-05
             469         1.59658         1.59686     4.85918e-05
             470         1.59653         1.59685     4.84933e-05
             471         1.59649         1.59685     4.83965e-05
             472         1.59645         1.59685     4.83016e-05
             473         1.59641         1.59685     4.82086e-05
             474         1.59637         1.59685     4.81176e-05
             475         1.59634         1.59685     4.80285e-05
             476         1.59631         1.59685     4.79411e-05
             477         1.59629         1.59685     4.78551e-05
             478         1.59626         1.59685     4.77705e-05
             479         1.59625         1.59685     4.76872e-05
             480         1.59623         1.59684     4.76048e-05
             481         1.59622         1.59684     4.75232e-05
             482         1.59622         1.59684     4.74424e-05
             483         1.59621         1.59684     4.73623e-05
             484         1.59621         1.59684     4.72826e-05
             485          1.5962         1.59684     4.72032e-05
             486         1.59621         1.59684     4.71237e-05
             487         1.59622         1.59684     4.70439e-05
             488         1.59623         1.59683     4.69639e-05
             489         1.59624         1.59683     4.68836e-05
             490         1.59626         1.59683     4.68026e-05
             491         1.59628         1.59683     4.67208e-05
             492         1.59629         1.59683     4.66386e-05
             493         1.59632         1.59683     4.65554e-05
             494         1.59634         1.59683     4.64718e-05
             495         1.59636         1.59683     4.63875e-05
             496         1.59639         1.59683     4.63025e-05
             497         1.59641         1.59682      4.6217e-05
             498         1.59643         1.59682     4.61311e-05
             499         1.59645         1.59682     4.60446e-05
             500         1.59648         1.59682     4.59578e-05
             501          1.5965         1.59682     4.58704e-05
             502         1.59653         1.59682     4.57827e-05
             503         1.59655         1.59682     4.56948e-05
             504         1.59658         1.59682     4.56067e-05
             505         1.59661         1.59682     4.55183e-05
             506         1.59663         1.59682     4.54299e-05
             507         1.59666         1.59682     4.53415e-05
             508         1.59668         1.59682      4.5253e-05
             509         1.59671         1.59682     4.51646e-05
             510         1.59673         1.59682     4.50764e-05
             511         1.59675         1.59682     4.49884e-05
             512         1.59678         1.59682     4.49006e-05
             513          1.5968         1.59682     4.48131e-05
             514         1.59682         1.59682     4.47259e-05
             515         1.59684         1.59682     4.46391e-05
             516         1.59686         1.59682     4.45526e-05
             517         1.59688         1.59682     4.44666e-05
             518         1.59689         1.59682      4.4381e-05
             519          1.5969         1.59682     4.42958e-05
             520         1.59691         1.59682      4.4211e-05
             521         1.59692         1.59682     4.41266e-05
             522         1.59694         1.59682     4.40427e-05
             523         1.59694         1.59682     4.39591e-05
             524         1.59695         1.59682     4.38759e-05
             525         1.59695         1.59682      4.3793e-05
             526         1.59695         1.59682     4.37105e-05
             527         1.59695         1.59682     4.36282e-05
             528         1.59694         1.59682     4.35462e-05
             529         1.59693         1.59682     4.34644e-05
             530         1.59692         1.59682     4.33828e-05
             531         1.59691         1.59682     4.33014e-05
             532         1.59689         1.59682     4.32202e-05
             533         1.59688         1.59682     4.31393e-05
             534         1.59686         1.59682     4.30586e-05
             535         1.59685         1.59682     4.29781e-05
             536         1.59683         1.59682      4.2898e-05
             537         1.59681         1.59682     4.28181e-05
             538         1.59678         1.59682     4.27386e-05
             539         1.59676         1.59682     4.26594e-05
             540         1.59673         1.59682     4.25808e-05
             541         1.59671         1.59682     4.25025e-05
             542         1.59668         1.59682     4.24249e-05
             543         1.59666         1.59682     4.23478e-05
             544         1.59663         1.59682     4.22714e-05
             545         1.59661         1.59682     4.21956e-05
             546         1.59658         1.59682     4.21207e-05
             547         1.59655         1.59682     4.20464e-05
             548         1.59653         1.59682      4.1973e-05
             549         1.59651         1.59682     4.19003e-05
             550         1.59649         1.59682     4.18283e-05
             551         1.59647         1.59682     4.17571e-05
             552         1.59646         1.59682     4.16865e-05
             553         1.59644         1.59682     4.16167e-05
             554         1.59642         1.59681     4.15475e-05
             555         1.59641         1.59681     4.14791e-05
             556         1.59639         1.59681     4.14115e-05
             557         1.59638         1.59681     4.13444e-05
             558         1.59637         1.59681     4.12778e-05
             559         1.59637         1.59681     4.12117e-05
             560         1.59636         1.59681     4.11459e-05
             561         1.59635         1.59681     4.10805e-05
             562         1.59635         1.59681     4.10154e-05
             563         1.59636         1.59681     4.09504e-05
             564         1.59636         1.59681     4.08854e-05
             565         1.59636         1.59681     4.08206e-05
             566         1.59637         1.59681     4.07557e-05
             567         1.59638          1.5968     4.06907e-05
             568         1.59639          1.5968     4.06257e-05
             569          1.5964          1.5968     4.05605e-05
             570         1.59641          1.5968     4.04951e-05
             571         1.59643          1.5968     4.04296e-05
             572         1.59644          1.5968     4.03637e-05
             573         1.59646          1.5968     4.02976e-05
             574         1.59648          1.5968     4.02314e-05
             575         1.59649          1.5968      4.0165e-05
             576          1.5965          1.5968     4.00986e-05
             577         1.59652          1.5968     4.00319e-05
             578         1.59654          1.5968     3.99651e-05
             579         1.59656          1.5968     3.98981e-05
             580         1.59658          1.5968      3.9831e-05
             581         1.59661          1.5968     3.97638e-05
             582         1.59662          1.5968     3.96966e-05
             583         1.59665          1.5968     3.96293e-05
             584         1.59667          1.5968     3.95621e-05
             585         1.59669          1.5968     3.94948e-05
             586         1.59672          1.5968     3.94277e-05
             587         1.59674          1.5968     3.93606e-05
             588         1.59676          1.5968     3.92937e-05
             589         1.59679          1.5968      3.9227e-05
             590         1.59681          1.5968     3.91605e-05
             591         1.59683          1.5968     3.90943e-05
             592         1.59685          1.5968     3.90284e-05
             593         1.59688          1.5968     3.89628e-05
             594          1.5969          1.5968     3.88977e-05
             595         1.59692          1.5968     3.88328e-05
             596         1.59694          1.5968     3.87685e-05
             597         1.59696          1.5968     3.87045e-05
             598         1.59698          1.5968      3.8641e-05
             599           1.597          1.5968      3.8578e-05
             600         1.59702          1.5968     3.85154e-05
             601         1.59704          1.5968     3.84534e-05
             602         1.59705          1.5968     3.83919e-05
             603         1.59707          1.5968     3.83309e-05
             604         1.59709          1.5968     3.82704e-05
             605          1.5971          1.5968     3.82105e-05
             606         1.59712          1.5968     3.81511e-05
             607         1.59713          1.5968     3.80922e-05
             608         1.59715          1.5968     3.80337e-05
             609         1.59716          1.5968     3.79758e-05
             610         1.59717          1.5968     3.79184e-05
             611         1.59718          1.5968     3.78615e-05
             612          1.5972          1.5968      3.7805e-05
             613          1.5972          1.5968     3.77489e-05
             614          1.5972         1.59681      3.7693e-05
             615         1.59721         1.59681     3.76375e-05
             616         1.59722         1.59681     3.75824e-05
             617         1.59723         1.59681     3.75276e-05
             618         1.59723         1.59681     3.74732e-05
             619         1.59724         1.59681     3.74191e-05
             620         1.59725         1.59681     3.73656e-05
             621         1.59726         1.59681     3.73123e-05
             622         1.59726         1.59681     3.72594e-05
             623         1.59727         1.59681     3.72069e-05
             624         1.59727         1.59681     3.71545e-05
             625         1.59727         1.59681     3.71024e-05
             626         1.59728         1.59681     3.70505e-05
             627         1.59728         1.59681     3.69989e-05
             628         1.59729         1.59682     3.69476e-05
             629         1.59729         1.59682     3.68964e-05
             630         1.59729         1.59682     3.68454e-05
             631         1.59729         1.59682     3.67948e-05
             632         1.59729         1.59682     3.67443e-05
             633          1.5973         1.59682     3.66943e-05
             634         1.59731         1.59682     3.66445e-05
             635         1.59731         1.59682      3.6595e-05
             636         1.59731         1.59682     3.65457e-05
             637         1.59731         1.59682     3.64964e-05
             638         1.59731         1.59682     3.64473e-05
             639         1.59732         1.59682     3.63984e-05
             640         1.59732         1.59682     3.63497e-05
             641         1.59732         1.59683     3.63012e-05
             642         1.59733         1.59683      3.6253e-05
             643         1.59733         1.59683     3.62051e-05
             644         1.59733         1.59683     3.61575e-05
             645         1.59734         1.59683     3.61102e-05
             646         1.59734         1.59683      3.6063e-05
             647         1.59734         1.59683     3.60159e-05
             648         1.59734         1.59683     3.59691e-05
             649         1.59735         1.59683     3.59225e-05
             650         1.59735         1.59683     3.58762e-05
             651         1.59736         1.59683     3.58302e-05
             652         1.59737         1.59683     3.57845e-05
             653         1.59737         1.59683     3.57393e-05
             654         1.59738         1.59684     3.56944e-05
             655         1.59738         1.59684     3.56497e-05
             656          1.5974         1.59684     3.56056e-05
             657         1.59741         1.59684      3.5562e-05
             658         1.59741         1.59684     3.55187e-05
             659         1.59742         1.59684     3.54757e-05
             660         1.59743         1.59684     3.54332e-05
