#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
             0.8               7         14.4736         14.9489          0.1709
             0.8               8         15.6284         15.0339        0.169335
             0.8               9         15.2415         15.0569        0.152083
             0.8              10         14.3206         14.9833        0.153669
             0.8              11         15.1217         14.9959        0.140213
             0.8              12         15.4065         15.0301         0.13264
             0.8              13         15.3513         15.0548        0.124717
             0.8              14         15.2102         15.0659        0.116301
             0.8              15         15.2546         15.0785        0.109226
             0.8              16         14.8036         15.0613        0.103741
             0.8              17         15.2395         15.0718       0.0981669
             0.8              18          15.785         15.1114        0.100392
             0.8              19          15.539         15.1339       0.0975985
             0.8              20         15.3973         15.1471       0.0936025
            0.82               1         12.9903         12.9903               0
            0.82               2         13.6518         13.3211        0.233877
            0.82               3         13.8968          13.513        0.221056
            0.82               4         12.9854         13.3811         0.20133
            0.82               5          13.055         13.3159        0.171299
            0.82               6         14.6903         13.5449        0.253187
            0.82               7         12.7292         13.4284        0.242357
            0.82               8         13.8459         13.4806        0.217608
            0.82               9         13.7843         13.5143        0.196029
            0.82              10         13.8797         13.5509        0.179798
            0.82              11          14.034         13.5948        0.168731
            0.82              12          13.612         13.5962        0.154677
            0.82              13         13.5214         13.5905        0.142885
            0.82              14          13.264         13.5671        0.134568
            0.82              15         13.7746          13.581        0.126306
            0.82              16         13.5698         13.5803        0.118414
            0.82              17         13.3979         13.5696        0.111933
            0.82              18         13.1988          13.549        0.107593
            0.82              19         14.4546         13.5966        0.111991
            0.82              20          14.555         13.6445        0.116192
            0.84               1          12.503          12.503               0
            0.84               2         12.6493         12.5761       0.0517448
            0.84               3          12.853         12.6684       0.0828813
            0.84               4          12.591         12.6491       0.0643816
            0.84               5         12.1731         12.5539       0.0995076
            0.84               6         12.6838         12.5755       0.0852475
            0.84               7         12.9676         12.6315       0.0895972
            0.84               8         13.0785         12.6874       0.0942211
            0.84               9         11.8536         12.5948        0.121015
            0.84              10         13.1528         12.6506        0.121099
            0.84              11         13.1772         12.6984        0.119178
            0.84              12         12.7976         12.7067        0.109533
            0.84              13         12.9727         12.7272           0.103
            0.84              14         12.7742         12.7305       0.0956979
            0.84              15         12.9516         12.7453       0.0904456
            0.84              16         12.4453         12.7265       0.0867138
            0.84              17          13.097         12.7483       0.0843076
            0.84              18         12.0104         12.7073       0.0890348
            0.84              19         13.3988         12.7437       0.0914859
            0.84              20         13.2893          12.771       0.0908877
            0.86               1         11.0965         11.0965               0
            0.86               2         11.8067         11.4516        0.251107
            0.86               3         12.1311         11.6781        0.249465
            0.86               4         12.4725         11.8767        0.254133
            0.86               5         11.0593         11.7132        0.250426
            0.86               6         12.6172         11.8639        0.249933
            0.86               7         11.7744         11.8511        0.214555
            0.86               8         12.9166         11.9843        0.225315
            0.86               9         12.1335         12.0009        0.200888
            0.86              10         11.8641         11.9872        0.181264
            0.86              11         12.7857         12.0598        0.178731
            0.86              12         11.5777         12.0196        0.168291
            0.86              13         11.5941         11.9869        0.158497
            0.86              14         11.9603          11.985        0.147187
            0.86              15         11.3082         11.9399        0.144123
            0.86              16         11.6475         11.9216        0.136268
            0.86              17         12.6641         11.9653        0.135071
            0.86              18         12.0091         11.9677        0.127589
            0.86              19         11.7199         11.9547        0.121538
            0.86              20         12.2313         11.9685        0.116245
            0.88               1         11.5149         11.5149               0
            0.88               2         10.5253         11.0201        0.349861
            0.88               3         11.3915         11.1439        0.254201
            0.88               4         10.9249         11.0891        0.196455
            0.88               5         11.1758         11.1065        0.157926
            0.88               6         11.1056         11.1063        0.131605
            0.88               7         10.9281         11.0809         0.11524
            0.88               8         10.6312         11.0247        0.113717
            0.88               9          10.897         11.0105        0.101962
            0.88              10         10.8106         10.9905       0.0937056
            0.88              11         10.8239         10.9753       0.0864015
            0.88              12         10.7834         10.9593       0.0806683
            0.88              13         10.9517         10.9588       0.0744652
            0.88              14         11.6587         11.0088       0.0842765
            0.88              15         10.9966         11.0079        0.078662
            0.88              16         10.7315         10.9907       0.0756197
            0.88              17         11.4939         11.0203       0.0767474
            0.88              18         11.3144         11.0366       0.0742034
            0.88              19         11.1933         11.0449       0.0707548
            0.88              20         10.6844         11.0268        0.069475
             0.9               1         10.5709         10.5709               0
             0.9               2         11.2557         10.9133        0.242109
             0.9               3         10.2232         10.6833        0.247645
             0.9               4         10.3537         10.6009        0.198974
             0.9               5         9.67787         10.4163        0.229348
             0.9               6         10.1747          10.376        0.194626
             0.9               7         9.97266         10.3184        0.175145
             0.9               8         10.2088         10.3047        0.153787
             0.9               9          10.095         10.2814        0.138454
             0.9              10         10.4562         10.2989        0.125707
             0.9              11         10.3968         10.3078        0.114594
             0.9              12         10.8735         10.3549        0.114332
             0.9              13          10.664         10.3787        0.107981
             0.9              14         10.2941         10.3727        0.100436
             0.9              15         9.74344         10.3307        0.102126
             0.9              16         9.92143         10.3051       0.0988944
             0.9              17         10.7454          10.331        0.096409
             0.9              18         10.4401         10.3371       0.0912433
             0.9              19         10.1262          10.326       0.0871137
             0.9              20         10.1941         10.3194       0.0830072
            0.92               1         9.95244         9.95244               0
            0.92               2         10.0038         9.97814       0.0181676
            0.92               3          9.5944         9.85023        0.105139
            0.92               4         9.60729         9.78949        0.094786
            0.92               5         9.47819         9.72723       0.0940802
            0.92               6          9.4498         9.68099       0.0890406
            0.92               7         9.59461         9.66865       0.0771709
            0.92               8         9.53651         9.65213       0.0692699
            0.92               9         9.77693           9.666       0.0629458
            0.92              10         9.00669         9.60007       0.0843891
            0.92              11         9.29597         9.57242       0.0811195
            0.92              12         9.64074         9.57812        0.074559
            0.92              13         9.42813         9.56658       0.0697106
            0.92              14         9.77663         9.58158       0.0663263
            0.92              15         9.55232         9.57963       0.0619332
            0.92              16          9.3538         9.56552       0.0596491
            0.92              17         9.25938         9.54751       0.0587959
            0.92              18         9.48253          9.5439       0.0556402
            0.92              19          9.3576         9.53409       0.0535687
            0.92              20         9.25749         9.52026       0.0526453
            0.94               1         8.82956         8.82956               0
            0.94               2          8.4194         8.62448        0.145012
            0.94               3         9.04177         8.76358        0.149145
            0.94               4         9.39828         8.92225        0.177189
            0.94               5          9.3463         9.00706        0.160771
            0.94               6         9.16513         9.03341        0.136118
            0.94               7         8.88003          9.0115        0.118423
            0.94               8         8.78024         8.98259         0.10709
            0.94               9         9.33337         9.02156        0.102037
            0.94              10         9.12723         9.03213        0.092379
            0.94              11         9.30295         9.05675       0.0871999
            0.94              12         9.08832         9.05938       0.0799729
            0.94              13         8.26581         8.99834        0.094283
            0.94              14          8.5904          8.9692        0.091941
            0.94              15         8.84106         8.96066       0.0862075
            0.94              16          9.1055         8.96971       0.0812935
            0.94              17         9.00804         8.97196       0.0765428
            0.94              18          8.7456         8.95939       0.0733162
            0.94              19         8.57455         8.93913        0.072201
            0.94              20          8.8183         8.93309       0.0688433
            0.96               1         8.63311         8.63311               0
            0.96               2         8.35338         8.49324        0.098898
            0.96               3         8.29672         8.42773       0.0848995
            0.96               4         8.38641          8.4174          0.0643
            0.96               5         8.29825         8.39357        0.055681
            0.96               6         8.35382         8.38695       0.0467934
            0.96               7         8.53454         8.40803       0.0446064
            0.96               8         8.05773         8.36424       0.0565785
