#T      BLOCK:  ACTUAL_CV:     CV_AVE:      ERROR:
            0.98              17        0.420292        0.425179      0.00127294
            0.98              18        0.424164        0.425122      0.00120347
            0.98              19        0.419229        0.424812      0.00117942
            0.98              20         0.41356        0.424249      0.00124743
               1               1        0.406259        0.406259               0
               1               2        0.419293        0.412776      0.00460841
               1               3        0.421034        0.415529      0.00380664
               1               4         0.42273        0.417329      0.00325292
               1               5        0.427326        0.419328      0.00315754
               1               6        0.428577         0.42087      0.00298393
               1               7        0.419598        0.420688      0.00256318
               1               8        0.422002        0.420852      0.00224803
               1               9        0.425748        0.421396      0.00206301
               1              10        0.425314        0.421788      0.00189355
               1              11        0.420064        0.421631      0.00172789
               1              12        0.423047        0.421749      0.00158792
               1              13        0.414367        0.421181      0.00156403
               1              14        0.423814        0.421369      0.00146357
               1              15        0.416943        0.421074      0.00139543
               1              16        0.416902        0.420813      0.00133236
               1              17        0.427278        0.421194      0.00130713
               1              18        0.420009        0.421128      0.00123617
               1              19         0.42064        0.421102      0.00117138
               1              20        0.425909        0.421343       0.0011372
            1.02               1        0.421825        0.421825               0
            1.02               2        0.424643        0.423234     0.000996044
            1.02               3        0.417073         0.42118      0.00180346
            1.02               4        0.411969        0.418878      0.00240969
            1.02               5        0.413245        0.417751      0.00217519
            1.02               6        0.408081        0.416139      0.00233457
            1.02               7        0.410677        0.415359      0.00212751
            1.02               8        0.418407         0.41574      0.00189539
            1.02               9         0.41268          0.4154      0.00171501
            1.02              10        0.420798         0.41594      0.00162625
            1.02              11        0.416159         0.41596      0.00147853
            1.02              12         0.41576        0.415943      0.00135542
            1.02              13        0.414415        0.415826      0.00125624
            1.02              14        0.412597        0.415595      0.00118749
            1.02              15        0.420041        0.415891      0.00114471
            1.02              16        0.408035          0.4154      0.00117378
            1.02              17        0.417462        0.415522      0.00111098
            1.02              18        0.418912         0.41571       0.0010651
            1.02              19        0.418172         0.41584      0.00101689
            1.02              20        0.412138        0.415654     0.000982744
            1.04               1         0.41421         0.41421               0
            1.04               2        0.416668        0.415439     0.000869063
            1.04               3        0.416057        0.415645     0.000603311
            1.04               4        0.414422        0.415339      0.00052426
            1.04               5        0.410557        0.414383     0.000952697
            1.04               6         0.41043        0.413724     0.000995969
            1.04               7        0.411912        0.413465     0.000886697
            1.04               8         0.41667        0.413866     0.000861583
            1.04               9        0.420798        0.414636      0.00105541
            1.04              10         0.41053        0.414225      0.00102665
            1.04              11        0.422089         0.41494       0.0011557
            1.04              12        0.403144        0.413957      0.00141708
            1.04              13        0.409211        0.413592      0.00135429
            1.04              14        0.413939        0.413617      0.00125778
            1.04              15        0.409827        0.413364      0.00119904
            1.04              16        0.409008        0.413092      0.00115461
