#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.92              20        0.170395         0.18464      0.00308303
            0.94               1        0.164802        0.164802               0
            0.94               2        0.166676        0.165739     0.000662284
            0.94               3        0.142198        0.157892      0.00642223
            0.94               4        0.198777        0.168113       0.0100775
            0.94               5        0.159806        0.166452      0.00819783
            0.94               6        0.166439         0.16645      0.00683153
            0.94               7        0.200411        0.171301      0.00737993
            0.94               8        0.173257        0.171546      0.00646149
            0.94               9        0.167577        0.171105      0.00575857
            0.94              10        0.177958         0.17179      0.00522334
            0.94              11        0.200272         0.17438       0.0053519
            0.94              12        0.183503         0.17514      0.00495962
            0.94              13        0.202343        0.177232      0.00500009
            0.94              14        0.174949        0.177069       0.0046456
            0.94              15        0.211682        0.179377      0.00487541
            0.94              16        0.168668        0.178708      0.00461641
            0.94              17        0.145662        0.176764      0.00473647
            0.94              18        0.165873        0.176159      0.00451181
            0.94              19        0.175552        0.176127      0.00427446
            0.94              20        0.162513        0.175446      0.00411457
            0.96               1        0.169441        0.169441               0
            0.96               2        0.170505        0.169973     0.000376267
            0.96               3        0.174829        0.171592       0.0013454
            0.96               4        0.162368        0.169286      0.00223745
            0.96               5        0.156486        0.166726      0.00290635
            0.96               6        0.164586        0.166369      0.00244375
            0.96               7        0.161078        0.165613      0.00220845
            0.96               8        0.152549         0.16398      0.00246327
            0.96               9        0.137186        0.161003      0.00355986
            0.96              10        0.164338        0.161337      0.00321945
            0.96              11        0.171761        0.162284      0.00306309
            0.96              12        0.152535        0.161472      0.00291358
            0.96              13        0.136708        0.159567      0.00325312
            0.96              14        0.175863        0.160731      0.00322228
            0.96              15        0.187522        0.162517      0.00346729
            0.96              16        0.147288        0.161565      0.00337871
            0.96              17        0.169659        0.162041      0.00321333
            0.96              18        0.167766        0.162359      0.00305051
            0.96              19        0.178611        0.163215      0.00300749
            0.96              20        0.165649        0.163336      0.00285958
            0.98               1        0.152343        0.152343               0
            0.98               2        0.151285        0.151814     0.000374146
            0.98               3        0.181395        0.161674       0.0080549
            0.98               4        0.185286        0.167577      0.00791383
            0.98               5        0.142278        0.162517      0.00778231
            0.98               6        0.146527        0.159852      0.00692656
            0.98               7        0.132271        0.155912      0.00696822
            0.98               8        0.147062        0.154806      0.00618439
            0.98               9        0.168084        0.156281       0.0056705
            0.98              10        0.154792        0.156132       0.0051054
            0.98              11        0.170246        0.157415      0.00479979
            0.98              12        0.151188        0.156896      0.00442777
            0.98              13        0.157607        0.156951      0.00408751
            0.98              14        0.154187        0.156754      0.00380031
            0.98              15        0.149347         0.15626      0.00357889
            0.98              16        0.158883        0.156424      0.00335896
