#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.92              11        0.186692        0.187566       0.0032311
            0.92              12        0.178807        0.186836      0.00304316
            0.92              13        0.195259        0.187484      0.00287721
            0.92              14        0.183741        0.187216      0.00268409
            0.92              15        0.176606        0.186509      0.00259669
            0.92              16        0.186429        0.186504       0.0024344
            0.92              17        0.176706        0.185928      0.00235844
            0.92              18        0.185985        0.185931      0.00222742
            0.92              19         0.18582        0.185925       0.0021102
            0.92              20        0.177878        0.185523      0.00204268
            0.94               1        0.161846        0.161846               0
            0.94               2        0.169598        0.165722      0.00274079
            0.94               3        0.164316        0.165253       0.0018668
            0.94               4        0.184963        0.170181      0.00449109
            0.94               5        0.169421        0.170029      0.00359543
            0.94               6        0.180322        0.171744      0.00338082
            0.94               7        0.199522        0.175713      0.00467917
            0.94               8        0.190793        0.177598      0.00445783
            0.94               9        0.186415        0.178577      0.00406874
            0.94              10        0.183029        0.179022      0.00368614
            0.94              11        0.149693        0.176356      0.00420621
            0.94              12        0.199065        0.178249      0.00426018
            0.94              13        0.184637         0.17874      0.00396072
            0.94              14        0.164781        0.177743      0.00380124
            0.94              15        0.193863        0.178818      0.00369661
            0.94              16        0.197113        0.179961      0.00363812
            0.94              17        0.172095        0.179498      0.00345342
            0.94              18        0.174345        0.179212      0.00327341
            0.94              19        0.186978        0.179621      0.00312654
            0.94              20        0.158365        0.178558      0.00314567
            0.96               1        0.151587        0.151587               0
            0.96               2        0.153134         0.15236     0.000547065
            0.96               3        0.142945        0.149222      0.00258838
            0.96               4        0.156912        0.151144      0.00255746
            0.96               5        0.164219        0.153759       0.0031075
            0.96               6        0.142685        0.151914      0.00308945
            0.96               7        0.171322        0.154686      0.00368802
            0.96               8        0.149494        0.154037      0.00328363
            0.96               9        0.170745        0.155894      0.00340331
            0.96              10        0.174204        0.157725      0.00352127
            0.96              11        0.164423        0.158334      0.00325339
            0.96              12        0.172033        0.159475      0.00317626
            0.96              13        0.157264        0.159305      0.00293649
            0.96              14        0.171814        0.160199      0.00285945
            0.96              15        0.180779        0.161571      0.00297987
            0.96              16        0.161104        0.161541      0.00279377
            0.96              17        0.168812        0.161969      0.00266196
            0.96              18        0.136431         0.16055      0.00286736
            0.96              19         0.14539        0.159752      0.00282529
            0.96              20        0.159897         0.15976      0.00268403
            0.98               1        0.156438        0.156438               0
            0.98               2        0.154282         0.15536      0.00076216
            0.98               3        0.142107        0.150942      0.00364262
            0.98               4        0.161774         0.15365      0.00360045
            0.98               5        0.156775        0.154275      0.00293411
            0.98               6        0.161725        0.155517      0.00269502
            0.98               7        0.173695        0.158114      0.00333415
            0.98               8        0.165111        0.158988      0.00302992
            0.98               9        0.154233         0.15846      0.00273894
            0.98              10        0.155804        0.158194       0.0024779
            0.98              11        0.147219        0.157197      0.00244529
            0.98              12         0.16192         0.15759      0.00227298
            0.98              13        0.144905        0.156614      0.00229806
            0.98              14        0.139805        0.155414      0.00242739
            0.98              15        0.166063        0.156124       0.0023671
            0.98              16        0.151698        0.155847      0.00223526
            0.98              17         0.14333        0.155111      0.00222173
            0.98              18        0.160895        0.155432      0.00212141
            0.98              19        0.161911        0.155773      0.00203697
            0.98              20        0.158598        0.155914      0.00194002
               1               1        0.149943        0.149943               0
               1               2         0.14523        0.147586      0.00166632
               1               3        0.145466         0.14688      0.00125177
               1               4        0.145275        0.146478      0.00100101
               1               5        0.144707        0.146124     0.000861216
               1               6        0.146389        0.146168      0.00071881
               1               7        0.164349        0.148766      0.00248229
               1               8        0.135282         0.14708      0.00268389
               1               9        0.126811        0.144828      0.00319375
               1              10        0.142276        0.144573      0.00288455
               1              11        0.150565        0.145118      0.00267326
               1              12        0.140932        0.144769      0.00247314
               1              13         0.15257        0.145369      0.00235457
               1              14        0.145687        0.145392       0.0021865
               1              15         0.14081        0.145086      0.00206195
               1              16        0.132358        0.144291      0.00208089
               1              17         0.14364        0.144252      0.00195884
               1              18        0.148699        0.144499      0.00186553
               1              19        0.156857         0.14515      0.00187731
               1              20         0.14023        0.144904      0.00179949
            1.02               1        0.137082        0.137082               0
            1.02               2        0.136953        0.137017     4.56419e-05
            1.02               3        0.112818        0.128951      0.00658631
            1.02               4        0.126537        0.128348      0.00496729
            1.02               5        0.149358         0.13255      0.00546965
            1.02               6        0.139458        0.133701      0.00467766
            1.02               7         0.13197        0.133454      0.00401595
            1.02               8        0.150243        0.135552      0.00402513
            1.02               9         0.13636        0.135642       0.0035789
            1.02              10        0.132976        0.135375      0.00323092
            1.02              11        0.154597        0.137123      0.00337682
            1.02              12        0.139699        0.137337      0.00310224
            1.02              13        0.152543        0.138507      0.00307621
            1.02              14        0.137688        0.138449      0.00285704
            1.02              15        0.145724        0.138934      0.00270743
            1.02              16        0.138924        0.138933      0.00253822
            1.02              17        0.118965        0.137758      0.00264678
            1.02              18        0.144552        0.138136       0.0025265
            1.02              19        0.148496        0.138681      0.00245166
            1.02              20        0.143471        0.138921      0.00234075
            1.04               1          0.1228          0.1228               0
            1.04               2        0.138271        0.130536      0.00547009
            1.04               3        0.120081        0.127051      0.00462553
            1.04               4        0.125755        0.126727      0.00348046
            1.04               5        0.122406        0.125863      0.00288968
            1.04               6        0.131759        0.126845      0.00256972
            1.04               7        0.153473        0.130649       0.0041539
            1.04               8        0.134043        0.131073      0.00365626
            1.04               9        0.120856        0.129938      0.00342172
            1.04              10        0.136524        0.130597      0.00314229
            1.04              11        0.108819        0.128617      0.00342397
            1.04              12        0.133694         0.12904      0.00316467
            1.04              13        0.126299        0.128829      0.00292825
            1.04              14        0.121938        0.128337      0.00276015
            1.04              15        0.120219        0.127796      0.00262867
            1.04              16        0.124215        0.127572      0.00247388
