#T:     ACCEPTANCE:
1.36         0.36825
1.38        0.374031
1.38        0.374551
1.38        0.374334
1.38        0.374581
1.38        0.374635
1.38        0.374686
1.38        0.374435
1.38        0.374408
1.38        0.374504
1.38         0.37468
1.38        0.374653
1.38        0.374551
1.38        0.374596
1.38         0.37455
1.38        0.374628
1.38        0.374657
1.38         0.37469
1.38        0.374703
1.38        0.374687
1.38        0.374735
1.4        0.380771
1.4        0.381398
1.4        0.381124
1.4        0.381242
1.4        0.381113
1.4        0.381382
1.4        0.381311
1.4        0.381302
1.4        0.381191
1.4        0.381291
1.4        0.381335
1.4        0.381442
1.4        0.381497
1.4        0.381429
1.4        0.381376
1.4        0.381458
1.4        0.381422
1.4        0.381362
1.4        0.381354
1.4        0.381437
1.42        0.386843
1.42        0.387078
1.42        0.387405
1.42        0.387838
1.42        0.387859
1.42        0.387847
1.42        0.387935
1.42        0.387893
1.42        0.387674
1.42        0.387677
1.42        0.387736
1.42        0.387697
1.42        0.387686
1.42        0.387762
1.42        0.387809
1.42        0.387796
1.42        0.387745
1.42        0.387738
1.42         0.38774
1.42        0.387741
1.44        0.392306
1.44        0.393037
1.44        0.393384
1.44        0.393578
1.44        0.394113
1.44         0.39373
1.44        0.393604
1.44        0.393749
1.44        0.393813
1.44        0.393722
1.44        0.393691
1.44        0.393626
1.44        0.393685
1.44        0.393668
1.44        0.393683
1.44         0.39364
1.44        0.393667
1.44        0.393662
1.44        0.393731
1.44        0.393852
1.46        0.400377
1.46        0.400557
1.46        0.399775
1.46         0.39943
1.46        0.399689
1.46        0.399804
1.46        0.399652
1.46        0.399482
1.46        0.399528
1.46        0.399594
1.46        0.399616
1.46        0.399645
1.46        0.399749
1.46        0.399771
1.46        0.399853
1.46        0.399841
1.46        0.399739
1.46        0.399685
1.46        0.399708
1.46        0.399708
1.48         0.40493
1.48        0.406601
1.48        0.406711
1.48        0.406668
1.48        0.406659
1.48        0.406701
1.48        0.406511
1.48        0.406637
1.48        0.406621
1.48        0.406618
1.48        0.406526
1.48        0.406572
1.48        0.406542
1.48        0.406541
1.48        0.406455
1.48        0.406498
1.48        0.406555
1.48        0.406551
1.48        0.406414
1.48        0.406423
1.5        0.410791
1.5        0.411104
1.5        0.411199
1.5        0.411517
1.5        0.411441
1.5        0.411661
1.5        0.411606
1.5        0.411698
1.5        0.411841
1.5        0.411814
1.5        0.411789
1.5        0.411842
1.5        0.411891
1.5        0.411889
1.5        0.411868
1.5        0.411927
1.5        0.411967
1.5        0.412013
1.5        0.412018
1.5        0.412041
1.52        0.418937
1.52        0.418905
1.52         0.41884
1.52        0.418957
1.52        0.418788
1.52        0.418477
1.52        0.418358
1.52        0.418453
1.52        0.418485
1.52        0.418483
1.52        0.418487
1.52        0.418389
1.52        0.418294
1.52        0.418187
1.52        0.418205
1.52        0.418242
1.52        0.418174
1.52        0.418183
1.52        0.418209
1.52         0.41818
1.54        0.424584
1.54        0.424331
1.54        0.423804
1.54        0.423596
1.54        0.423584
1.54        0.423822
1.54         0.42354
1.54        0.423592
1.54        0.423556
1.54        0.423645
1.54        0.423542
1.54        0.423523
1.54        0.423611
1.54        0.423574
1.54        0.423685
1.54        0.423673
1.54         0.42368
1.54        0.423778
1.54         0.42376
1.54        0.423796
1.56        0.428569
1.56        0.428759
1.56        0.428759
1.56        0.428733
1.56        0.428799
1.56        0.428943
1.56        0.428852
1.56        0.429173
1.56        0.429196
1.56        0.429296
1.56        0.429235
1.56        0.429204
1.56         0.42925
1.56        0.429179
1.56        0.429264
1.56        0.429255
1.56         0.42938
1.56        0.429308
1.56        0.429367
1.56        0.429366
1.58        0.435562
1.58        0.435501
1.58        0.435384
1.58        0.435192
1.58        0.435321
1.58        0.435183
1.58        0.435133
1.58        0.434911
1.58        0.434921
1.58        0.435026
1.58        0.435074
1.58        0.435041
1.58        0.435118
1.58        0.435073
1.58        0.435047
1.58        0.435069
1.58        0.434995
1.58        0.434985
1.58        0.434986
1.58        0.435056
1.6        0.440227
1.6        0.439998
1.6        0.440042
1.6          0.4403
1.6        0.440122
1.6        0.440094
1.6        0.440016
1.6        0.439794
1.6        0.439841
1.6        0.439869
1.6        0.439827
1.6        0.439906
1.6        0.439885
1.6        0.440028
1.6        0.440092
1.6        0.440028
1.6        0.440085
1.6        0.440064
1.6        0.440027
1.6        0.440099
1.62         0.44675
1.62        0.446045
1.62        0.445977
1.62        0.445943
1.62        0.446089
1.62        0.446031
1.62        0.446184
1.62        0.446098
1.62         0.44589
1.62        0.445809
1.62        0.445712
1.62        0.445798
1.62        0.445788
1.62        0.445797
1.62        0.445776
1.62        0.445814
1.62        0.445802
1.62        0.445866
1.62        0.445874
1.62        0.445943
1.64         0.45141
1.64        0.451465
1.64        0.451595
1.64        0.451342
1.64         0.45146
1.64         0.45132
1.64        0.451286
1.64        0.451254
1.64        0.451301
1.64        0.451402
1.64        0.451491
1.64        0.451544
1.64        0.451568
1.64         0.45154
1.64        0.451614
1.64        0.451612
1.64        0.451461
1.64        0.451382
1.64        0.451275
1.64        0.451203
1.66        0.457869
1.66        0.458003
1.66        0.457343
